filename,record_id,category,variant,condition
data\images\gate\gate_b12_v1.png,gate_b12,gate,reference,clean
data\images\gate\gate_b12_v2_angle.png,gate_b12,gate,query,angle
data\images\gate\gate_b12_v3_dark.png,gate_b12,gate,query,dark
data\images\gate\gate_b12_v4_blur.png,gate_b12,gate,query,blur
data\images\gate\gate_a05_v1.png,gate_a05,gate,reference,clean
data\images\gate\gate_a05_v2_angle.png,gate_a05,gate,query,angle
data\images\gate\gate_a05_v3_dark.png,gate_a05,gate,query,dark
data\images\gate\gate_a05_v4_blur.png,gate_a05,gate,query,blur
data\images\gate\gate_c22_v1.png,gate_c22,gate,reference,clean
data\images\gate\gate_c22_v2_angle.png,gate_c22,gate,query,angle
data\images\gate\gate_c22_v3_dark.png,gate_c22,gate,query,dark
data\images\gate\gate_c22_v4_blur.png,gate_c22,gate,query,blur
data\images\check_in\checkin_t1_intl_v1.png,checkin_t1_intl,check_in,reference,clean
data\images\check_in\checkin_t1_intl_v2_angle.png,checkin_t1_intl,check_in,query,angle
data\images\check_in\checkin_t1_intl_v3_dark.png,checkin_t1_intl,check_in,query,dark
data\images\check_in\checkin_t1_intl_v4_blur.png,checkin_t1_intl,check_in,query,blur
data\images\check_in\checkin_t1_domestic_v1.png,checkin_t1_domestic,check_in,reference,clean
data\images\check_in\checkin_t1_domestic_v2_angle.png,checkin_t1_domestic,check_in,query,angle
data\images\check_in\checkin_t1_domestic_v3_dark.png,checkin_t1_domestic,check_in,query,dark
data\images\check_in\checkin_t1_domestic_v4_blur.png,checkin_t1_domestic,check_in,query,blur
data\images\baggage_claim\baggage_claim_t1_v1.png,baggage_claim_t1,baggage_claim,reference,clean
data\images\baggage_claim\baggage_claim_t1_v2_angle.png,baggage_claim_t1,baggage_claim,query,angle
data\images\baggage_claim\baggage_claim_t1_v3_dark.png,baggage_claim_t1,baggage_claim,query,dark
data\images\baggage_claim\baggage_claim_t1_v4_blur.png,baggage_claim_t1,baggage_claim,query,blur
data\images\baggage_claim\baggage_claim_t2_v1.png,baggage_claim_t2,baggage_claim,reference,clean
data\images\baggage_claim\baggage_claim_t2_v2_angle.png,baggage_claim_t2,baggage_claim,query,angle
data\images\baggage_claim\baggage_claim_t2_v3_dark.png,baggage_claim_t2,baggage_claim,query,dark
data\images\baggage_claim\baggage_claim_t2_v4_blur.png,baggage_claim_t2,baggage_claim,query,blur
data\images\security\security_t1_v1.png,security_t1,security,reference,clean
data\images\security\security_t1_v2_angle.png,security_t1,security,query,angle
data\images\security\security_t1_v3_dark.png,security_t1,security,query,dark
data\images\security\security_t1_v4_blur.png,security_t1,security,query,blur
