,find_baggage,find_charging,find_checkin,find_currency,find_customs,find_food,find_gate,find_help_desk,find_lounge,find_pharmacy,find_prayer_room,find_restroom,find_security,find_smoking,find_transport,find_wifi,flight_status
find_baggage,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
find_charging,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
find_checkin,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
find_currency,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
find_customs,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
find_food,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
find_gate,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
find_help_desk,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
find_lounge,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1
find_pharmacy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
find_prayer_room,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
find_restroom,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
find_security,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
find_smoking,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
find_transport,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
find_wifi,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
flight_status,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
