,find_baggage,find_charging,find_checkin,find_currency,find_customs,find_food,find_gate,find_help_desk,find_lounge,find_pharmacy,find_prayer_room,find_restroom,find_security,find_smoking,find_transport,find_wifi,flight_status
find_baggage,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
find_charging,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
find_checkin,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
find_currency,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
find_customs,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0
find_food,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
find_gate,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
find_help_desk,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0
find_lounge,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1
find_pharmacy,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
find_prayer_room,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
find_restroom,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0
find_security,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0
find_smoking,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0
find_transport,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0
find_wifi,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
flight_status,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
